Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age Group,c19_deaths,pneu_deaths,flu_deaths,pne_or_flu_deaths,pne_flu_c19_deaths,total_deaths
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Arkansas,65 years and over,0,26,,31,31,463
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,California,All Ages,,505,66,571,571,"5,793"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,California,0-17 years,0,,,,,62
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,California,18-64 years,0,101,28,129,129,"1,400"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,California,65 years and over,,402,37,439,439,"4,331"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Colorado,All Ages,0,57,,66,66,834
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Colorado,0-17 years,0,0,0,0,0,16
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Colorado,18-64 years,0,15,,19,19,199
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Colorado,65 years and over,0,42,,47,47,619
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Connecticut,All Ages,0,39,,45,45,637
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Connecticut,0-17 years,0,,0,,,
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Connecticut,18-64 years,0,,,,,133
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Connecticut,65 years and over,0,31,,35,35,498
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Delaware,All Ages,0,,,12,12,182
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Delaware,0-17 years,0,0,0,0,0,
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Delaware,18-64 years,0,,,,,37
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Delaware,65 years and over,0,,,,,142
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,District of Columbia,All Ages,0,,,,,102
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,District of Columbia,0-17 years,0,0,0,0,0,
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,District of Columbia,18-64 years,0,,0,,,32
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,District of Columbia,65 years and over,0,,,,,69
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Florida,All Ages,0,250,37,287,287,"4,277"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Florida,0-17 years,0,,0,,,42
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Florida,18-64 years,0,52,14,66,66,956
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Florida,65 years and over,0,197,23,220,220,"3,279"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Georgia,All Ages,0,97,22,119,119,"1,733"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Georgia,0-17 years,0,0,0,0,0,35
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Georgia,18-64 years,0,29,14,43,43,490
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Georgia,65 years and over,0,68,,76,76,"1,208"
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Hawaii,All Ages,0,22,,23,23,209
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Hawaii,0-17 years,0,,0,,,
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Hawaii,18-64 years,0,,0,,,44
01/12/2020,01/18/2020,2020,3,01/18/2020,By Week,Week-ending,Hawaii,65 years and over,0,20,,21,21,162
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alabama,All Ages,,70,,77,78,"1,090"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alabama,0-17 years,0,,0,,,15
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alabama,18-64 years,,25,,28,29,310
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alabama,65 years and over,0,44,,48,48,765
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alaska,All Ages,0,,0,,,102
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alaska,0-17 years,0,0,0,0,0,
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alaska,18-64 years,0,0,0,0,0,36
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Alaska,65 years and over,0,,0,,,63
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arizona,All Ages,0,90,12,102,102,"1,239"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arizona,0-17 years,0,0,,,,20
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arizona,18-64 years,0,19,,24,24,287
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arizona,65 years and over,0,71,,77,77,932
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arkansas,All Ages,0,40,,44,44,621
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arkansas,0-17 years,0,,0,,,11
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arkansas,18-64 years,0,,,10,10,165
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Arkansas,65 years and over,0,32,,33,33,445
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,California,All Ages,0,443,71,514,514,"5,800"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,California,0-17 years,0,,,,,61
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,California,18-64 years,0,83,30,113,113,"1,380"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,California,65 years and over,0,358,37,395,395,"4,359"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Colorado,All Ages,0,50,21,71,71,847
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Colorado,0-17 years,0,0,0,0,0,12
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Colorado,18-64 years,0,10,10,20,20,216
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Colorado,65 years and over,0,40,11,51,51,619
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Connecticut,All Ages,0,29,,36,36,649
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Connecticut,0-17 years,0,0,0,0,0,
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Connecticut,18-64 years,0,,,,,127
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Connecticut,65 years and over,0,22,,28,28,518
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Delaware,All Ages,0,,,12,12,202
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Delaware,0-17 years,0,0,0,0,0,
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Delaware,18-64 years,0,,,,,52
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Delaware,65 years and over,0,,,,,147
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,District of Columbia,All Ages,0,,0,,,102
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,District of Columbia,0-17 years,0,0,0,0,0,0
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,District of Columbia,18-64 years,0,,0,,,33
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,District of Columbia,65 years and over,0,,0,,,69
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Florida,All Ages,0,238,36,274,274,"4,259"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Florida,0-17 years,0,0,,,,53
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Florida,18-64 years,0,48,15,63,63,970
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Florida,65 years and over,0,190,18,208,208,"3,236"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Georgia,All Ages,0,110,20,130,130,"1,816"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Georgia,0-17 years,0,0,0,0,0,28
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Georgia,18-64 years,0,23,,32,32,530
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Georgia,65 years and over,0,87,11,98,98,"1,258"
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Hawaii,All Ages,0,11,,13,13,236
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Hawaii,0-17 years,0,0,,,,
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Hawaii,18-64 years,0,,0,,,38
01/19/2020,01/25/2020,2020,4,01/25/2020,By Week,Week-ending,Hawaii,65 years and over,0,,,10,10,194
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alabama,All Ages,0,55,16,71,71,"1,060"
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alabama,0-17 years,0,,,,,25
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alabama,18-64 years,0,15,,23,23,278
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alabama,65 years and over,0,39,,46,46,757
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alaska,All Ages,0,,,,,91
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alaska,0-17 years,0,,,,,
01/26/2020,02/01/2020,2020,5,02/01/2020,By Week,Week-ending,Alaska,18-64 years,0,,0,,,29
